台灣,#genre#
CNN,https://AIMIIP/streams/488932.m3u8
民視 HD,https://AIMIIP/streams/476986.m3u8
人间卫视 HD,https://AIMIIP/streams/488957.m3u8
台視 HD,https://AIMIIP/streams/476982.m3u8
大愛電視 HD,https://AIMIIP/streams/477082.m3u8
中視 HD,https://AIMIIP/streams/476983.m3u8
霹雳台湾 HD,https://AIMIIP/streams/488941.m3u8
华視 HD,https://AIMIIP/streams/476985.m3u8
公視 HD,https://AIMIIP/streams/476984.m3u8
幸福空間居家台 HD,https://AIMIIP/streams/488986.m3u8
好消息,https://AIMIIP/streams/476227.m3u8
原住民頻道,https://AIMIIP/streams/476228.m3u8
客家電視台 HD,https://AIMIIP/streams/476229.m3u8
BBC Earth,https://AIMIIP/streams/477040.m3u8
Discovery,https://AIMIIP/streams/476277.m3u8
TLC旅遊台,https://AIMIIP/streams/488939.m3u8
動物星球,https://AIMIIP/streams/477088.m3u8
CN卡通,https://AIMIIP/streams/476247.m3u8
Nickjr卡通台,https://AIMIIP/streams/477025.m3u8
MOMO親子台,https://AIMIIP/streams/477060.m3u8
东森幼幼 HD,https://AIMIIP/streams/476246.m3u8
纬来綜合 HD,https://AIMIIP/streams/477086.m3u8
八大第1台 HD,https://AIMIIP/streams/477071.m3u8
八大綜合台 HD,https://AIMIIP/streams/477069.m3u8
三立台湾台 HD,https://AIMIIP/streams/477050.m3u8
三立都會台 HD,https://AIMIIP/streams/476232.m3u8
韓國娛樂台 HD,https://AIMIIP/streams/708919.m3u8
東森綜合 HD,https://AIMIIP/streams/476987.m3u8
東森超視 HD,https://AIMIIP/streams/476234.m3u8
東森購物2,https://AIMIIP/streams/488988.m3u8
東森亞洲衛視 HD,https://AIMIIP/streams/476264.m3u8
中天綜合 HD,https://AIMIIP/streams/477084.m3u8
中天亞洲台,https://AIMIIP/streams/476241.m3u8
TVBS精彩台,https://AIMIIP/streams/477075.m3u8
中天娱乐 HD,https://AIMIIP/streams/476996.m3u8
東森戲劇 HD,https://AIMIIP/streams/476994.m3u8
八大戏剧台 HD,https://AIMIIP/streams/488934.m3u8
TVBS歡樂台 ,https://AIMIIP/streams/477068.m3u8
纬來戲劇 HD,https://AIMIIP/streams/477067.m3u8
八大精彩台,https://AIMIIP/streams/477035.m3u8
MOMOTV HD,https://AIMIIP/streams/476239.m3u8
東森購物3,https://AIMIIP/streams/488989.m3u8
東森購物1,https://AIMIIP/streams/488987.m3u8
三立財經新聞 HD,https://AIMIIP/streams/488992.m3u8
壹新聞 HD,https://AIMIIP/streams/488993.m3u8
年代新闻 HD,https://AIMIIP/streams/709037.m3u8
東森新聞 HD,https://AIMIIP/streams/476998.m3u8
中天新聞,https://AIMIIP/streams/477695.m3u8
民視新聞 HD,https://AIMIIP/streams/479210.m3u8
三立新聞 HD,https://AIMIIP/streams/492922.m3u8
TVBS新闻台 ,https://AIMIIP/streams/708927.m3u8
